max_depth,n_estimators,reg_lambda,MAE,R2,Index
7,500,6.0,0.03517802704935232,0.644794066131331,71
7,500,8.0,0.03491681148975336,0.6554722095939076,72
7,500,10.0,0.03482326973248783,0.657362805964198,73
7,500,12.0,0.03479455299636673,0.6579441114076792,74
9,100,4.0,0.03521596537956877,0.6489466354839959,75
9,100,6.0,0.035202872126749316,0.6451895566014259,76
9,100,8.0,0.03494117326274472,0.6539986270962262,77
9,100,10.0,0.03507057925846847,0.6523287798570244,78
9,100,12.0,0.034981330676588186,0.6581011173279601,79
9,200,4.0,0.03524323237124605,0.6478500118816832,80
9,200,6.0,0.03520576426265813,0.6436008554076722,81
9,200,8.0,0.03492397791929114,0.6527348356426999,82
9,200,10.0,0.03491206929918075,0.6535769969905421,83
9,200,12.0,0.034822702746834695,0.6578701582763531,84
9,300,4.0,0.03524323237124605,0.6478500118816832,85
9,300,6.0,0.03520576426265813,0.6436008554076722,86
9,300,8.0,0.03492397791929114,0.6527348356426999,87
9,300,10.0,0.03491206929918075,0.6535769969905421,88
9,300,12.0,0.034822702746834695,0.6578701582763531,89
9,400,4.0,0.03524323237124605,0.6478500118816832,90
9,400,6.0,0.03520576426265813,0.6436008554076722,91
9,400,8.0,0.03492397791929114,0.6527348356426999,92
9,400,10.0,0.03491206929918075,0.6535769969905421,93
9,400,12.0,0.034822702746834695,0.6578701582763531,94
9,500,4.0,0.03524323237124605,0.6478500118816832,95
9,500,6.0,0.03520576426265813,0.6436008554076722,96
9,500,8.0,0.03492397791929114,0.6527348356426999,97
9,500,10.0,0.03491206929918075,0.6535769969905421,98
9,500,12.0,0.034822702746834695,0.6578701582763531,99
