ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2018,132,33,27,7
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2018,519,11,37,1
010306060003,ELSMERE ELEMENTARY SCHOOL,2018,45,16,3,1
010306060004,GLENMONT ELEMENTARY SCHOOL,2018,34,10,3,1
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2018,33,10,1,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2018,57,12,4,1
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2018,133,12,9,1
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2018,174,11,11,1
010306060009,EAGLE ELEMENTARY SCHOOL,2018,43,11,6,1
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2018,653,37,73,4
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2018,201,36,24,4
010402060002,ALBERTUS W BECKER SCHOOL,2018,116,30,18,5
010402060003,PIETER B COEYMANS SCHOOL,2018,170,40,17,4
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2018,166,40,14,3
010500010000,COHOES CITY SCHOOL DISTRICT,2018,1149,61,72,4
010500010005,ABRAM LANSING SCHOOL,2018,236,59,7,2
010500010006,VAN SCHAICK ISLAND SCHOOL,2018,82,53,6,4
010500010007,COHOES HIGH SCHOOL,2018,318,59,32,6
010500010008,COHOES MIDDLE SCHOOL,2018,292,74,20,5
010500010009,HARMONY HILL SCHOOL,2018,221,55,7,2
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2018,1354,29,193,4
010601060003,ROESSLEVILLE SCHOOL,2018,135,40,14,4
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2018,68,21,11,3
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2018,107,30,18,5
010601060008,COLONIE CENTRAL HIGH SCHOOL,2018,449,29,73,5
010601060010,FOREST PARK ELEMENTARY SCHOOL,2018,75,27,7,3
010601060011,VEEDER ELEMENTARY SCHOOL,2018,98,23,10,2
010601060012,SAND CREEK MIDDLE SCHOOL,2018,272,33,42,5
010601060013,LISHA KILL MIDDLE SCHOOL,2018,150,24,18,3
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2018,74,28,11,4
010615020001,MENANDS SCHOOL,2018,74,28,11,4
010623060000,NORTH COLONIE CSD,2018,1036,18,181,3
010623060002,BLUE CREEK SCHOOL,2018,118,24,14,3
010623060003,BOGHT HILLS SCHOOL,2018,54,10,12,2
010623060004,FORTS FERRY SCHOOL,2018,112,22,14,3
010623060006,LATHAM RIDGE SCHOOL,2018,101,20,30,6
010623060007,LOUDONVILLE SCHOOL,2018,17,6,5,2
010623060008,SOUTHGATE SCHOOL,2018,77,19,14,3
010623060009,SHAKER JUNIOR HIGH SCHOOL,2018,177,20,23,3
010623060010,SHAKER HIGH SCHOOL,2018,380,19,69,3
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2018,154,53,28,10
010701030001,HEATLY SCHOOL,2018,154,53,28,10
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2018,701,14,92,2
010802060001,ALTAMONT ELEMENTARY SCHOOL,2018,80,27,8,3
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2018,69,13,11,2
010802060004,WESTMERE ELEMENTARY SCHOOL,2018,87,18,10,2
010802060005,GUILDERLAND HIGH SCHOOL,2018,217,14,22,1
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2018,43,11,6,1
010802060008,FARNSWORTH MIDDLE SCHOOL,2018,165,15,33,3
010802060009,PINE BUSH ELEMENTARY SCHOOL,2018,40,10,2,0
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2018,83,7,17,1
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2018,39,7,7,1
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2018,23,6,3,1
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2018,21,8,7,3
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2018,747,59,66,5
011200010002,WATERVLIET ELEMENTARY SCHOOL,2018,406,60,32,5
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2018,341,59,34,6
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2018,177,30,27,5
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2018,89,29,17,6
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2018,88,30,10,3
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2018,130,43,29,10
020601040001,ANDOVER SCHOOL,2018,130,43,29,10
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2018,226,48,27,6
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2018,226,48,27,6
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2018,188,57,24,7
020801040001,BELFAST SCHOOL,2018,188,57,24,7
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2018,116,50,8,3
021102040001,CANASERAGA SCHOOL,2018,116,50,8,3
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2018,175,58,26,9
